1 Cor 10:13,"No temptation has overtaken you except such as is common to man; but God is faithful, who will not allow you to be tempted beyond what you are able, but with the temptation will also make the way of escape that you may be able to bear it."
1 Cor 1:9,"God is faithful, by whom you were called into the fellowship of His Son, Jesus Christ our Lord."
2 Corinthians 12:9,"And He said to me, ""My grace is sufficient for you, for My strength is made perfect in weakness."""
2 Corinthians 3:17,"Now the Lord is the Spirit; and where the Spirit of the Lord is, there is liberty."
Hebrews 10:23,"Let us hold fast the confession of our hope without wavering, for He who promised is faithful."
Isa 55:7,"Let the wicked forsake his way, and the unrighteous man his thoughts: and let him return unto the LORD, and he will have mercy upon him; and to our God, for he will abundantly pardon."
Isaiah 26:3,"Thou wilt keep him in perfect peace, whose mind is stayed on thee: because he trusteth in thee."
Isaiah 40:1-2,"Comfort ye, comfort ye my people, saith your God. Speak ye comfortably to Jerusalem, and cry unto her, that her warfare is accomplished, that her iniquity is pardoned: for she hath received of the Lord's hand double for all her sins."
Isaiah 40:3,"The voice of him that crieth in the wilderness, Prepare ye the way of the Lord, make straight in the desert a highway for our God."
Isaiah 40:4,"Every valley shall be exalted, and every mountain and hill shall be made low: and the crooked shall be made straight, and the rough places plain:"
Isaiah 40:5,"And the glory of the Lord shall be revealed, and all flesh shall see it together: for the mouth of the Lord hath spoken it."
Isaiah 40:6,"The voice said, Cry. And he said, What shall I cry? All flesh is grass, and all the goodliness thereof is as the flower of the field:"
Isaiah 40:7,"The grass withereth, the flower fadeth: because the spirit of the Lord bloweth upon it: surely the people is grass."
Isaiah 40:8,"The grass withereth, the flower fadeth: but the word of our God shall stand for ever."
Isaiah 40:9,"O Zion, that bringest good tidings, get thee up into the high mountain; O Jerusalem, that bringest good tidings, lift up thy voice with strength; lift it up, be not afraid; say unto the cities of Judah, Behold your God!"
Isaiah 40:10,"Behold, the Lord God will come with strong hand, and his arm shall rule for him: behold, his reward is with him, and his work before him."
Isaiah 40:11,"He shall feed his flock like a shepherd: he shall gather the lambs with his arm, and carry them in his bosom, and shall gently lead those that are with young."
Isaiah 40:12-17,"Who hath measured the waters in the hollow of his hand, and meted out heaven with the span, and comprehended the dust of the earth in a measure, and weighed the mountains in scales, and the hills in a balance? Who hath directed the Spirit of the Lord, or being his counsellor hath taught him? With whom took he counsel, and who instructed him, and taught him in the path of judgment, and taught him knowledge, and shewed to him the way of understanding? Behold, the nations are as a drop of a bucket, and are counted as the small dust of the balance: behold, he taketh up the isles as a very little thing. And Lebanon is not sufficient to burn, nor the beasts thereof sufficient for a burnt offering. All nations before him are as nothing; and they are counted to him less than nothing, and vanity."
